shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
7,40.727000,-74.033821,32,3.6767670663915
7,40.724932,-74.034214,33,3.8211193306325
7,40.720369,-74.035033,34,4.1392803807574
7,40.717318,-74.035609,35,4.35222094869
7,40.717533,-74.036509,36,4.401635695541
7,40.717749,-74.037274,37,4.4443848706162
7,40.719187,-74.041963,38,4.7092627560832
7,40.719669,-74.042444,39,4.7510165430197
7,40.719314,-74.042392,40,4.7756942190771
7,40.719528,-74.043082,41,4.8147336448466
7,40.720585,-74.046403,42,5.0033451348245
7,40.722060,-74.050976,43,5.2635830505642
7,40.722733,-74.053320,44,5.3948317121447
7,40.723020,-74.053867,45,5.4296675494255
7,40.723671,-74.054726,46,5.4932759347039
7,40.724281,-74.055468,47,5.5505964615165
7,40.725069,-74.055990,48,5.6115149841153
7,40.725767,-74.056432,49,5.6650054666777
7,40.726035,-74.056480,50,5.6836912925902
7,40.726440,-74.056594,51,5.7123022840144
7,40.727055,-74.056978,52,5.75930936308
7,40.728096,-74.058140,53,5.8535131557909
7,40.728887,-74.059040,54,5.9256731905504
7,40.729627,-74.059861,55,5.9924685029207
7,40.730053,-74.060339,56,6.0311022959254
7,40.730835,-74.061241,57,6.1028604869249
7,40.731173,-74.061650,58,6.1345443129963
7,40.731963,-74.062589,59,6.2080011211344
7,40.732331,-74.063049,60,6.2430214523494
8,40.732332,-74.063044,0,0
8,40.731618,-74.062174,1,0.067142539781367
8,40.731236,-74.061713,2,0.10290679895705
8,40.730304,-74.060631,3,0.188670202194
8,40.729551,-74.059785,4,0.25699635100218
8,40.727941,-74.057954,5,0.40384114934089
8,40.727082,-74.057003,6,0.48131048425804
8,40.726467,-74.056606,7,0.5286127190934
8,40.726040,-74.056477,8,0.55887747520329
8,40.725767,-74.056435,9,0.57786678013053
8,40.725399,-74.056213,10,0.60582305160198
8,40.724553,-74.055658,11,0.6710985355506
8,40.724287,-74.055467,12,0.69202137858434
8,40.723807,-74.054901,13,0.73649715663731
8,40.723276,-74.054196,14,0.78854137165651
8,40.723024,-74.053877,15,0.81266873153656
8,40.722745,-74.053336,16,0.84693274246447
8,40.722204,-74.051434,17,0.95330799840898
8,40.719456,-74.042849,18,1.4412940747167
8,40.719318,-74.042372,19,1.4680296707724
8,40.719666,-74.042446,20,1.4923832506819
8,40.719202,-74.041976,21,1.5327987102294
8,40.719019,-74.041423,22,1.5643961555719
8,40.717739,-74.037256,23,1.7998409945536
8,40.717301,-74.035598,24,1.8917859715645
8,40.727000,-74.033820,25,2.5683262996752
8,40.726620,-74.033890,26,2.5948350020068
8,40.727001,-74.033811,27,2.6214812346214
8,40.728444,-74.033043,28,2.7289817838197
8,40.730122,-74.031458,29,2.8715544832371
8,40.731203,-74.030407,30,2.9643221803214
8,40.731606,-74.029785,31,3.0071673323325
8,40.731879,-74.029253,32,3.0408055160797
8,40.731966,-74.028803,33,3.0651197023537
8,40.732022,-74.027337,34,3.1419685973606
8,40.731637,-74.022312,35,3.4063910923604
8,40.731674,-74.019643,36,3.5461489119867
8,40.731723,-74.017910,37,3.6369425288279
8,40.732014,-74.013364,38,3.8757934638236
8,40.732413,-74.010089,39,4.0494552893379
8,40.732686,-74.008473,40,4.13613620308
8,40.732950,-74.007070,41,4.2118191986206
8,40.732952,-74.007061,42,4.2123127211213
8,40.733125,-74.005930,43,4.2727189190298
8,40.733413,-74.004093,44,4.3709288338047
8,40.733839,-74.001204,45,4.5250139112895
8,40.734072,-73.999547,46,4.6132434940846
8,40.734183,-73.999135,47,4.6361356283201
8,40.734244,-73.999110,48,4.6405482509787
8,40.737345,-73.996844,49,4.8854459456869
8,40.742890,-73.992803,50,5.3230725615312
8,40.749102,-73.988256,51,5.8138351927983
