trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
36187A745B1674,23:32:00,23:32:00,26729,2,"",0,0,0.53805416580964
36187A745B1674,23:41:00,23:41:00,26731,3,"",0,0,5.5819106855975
36188A745B1674,14:15:00,14:15:00,26733,1,"",0,0,0
36188A745B1674,14:17:00,14:17:00,26729,2,"",0,0,0.53805416580964
36188A745B1674,14:26:00,14:26:00,26731,3,"",0,0,5.5819106855975
36189A745B1674,02:15:00,02:15:00,26733,1,"",0,0,0
36189A745B1674,02:17:00,02:17:00,26729,2,"",0,0,0.53805416580964
36189A745B1674,02:26:00,02:26:00,26731,3,"",0,0,5.5819106855975
36190A745B1674,15:30:00,15:30:00,26733,1,"",0,0,0
36190A745B1674,15:32:00,15:32:00,26729,2,"",0,0,0.53805416580964
36190A745B1674,15:41:00,15:41:00,26731,3,"",0,0,5.5819106855975
36191A745B1674,05:10:00,05:10:00,26733,1,"",0,0,0
36191A745B1674,05:12:00,05:12:00,26729,2,"",0,0,0.53805416580964
36191A745B1674,05:21:00,05:21:00,26731,3,"",0,0,5.5819106855975
36192A745B1674,16:45:00,16:45:00,26733,1,"",0,0,0
36192A745B1674,16:47:00,16:47:00,26729,2,"",0,0,0.53805416580964
36192A745B1674,16:56:00,16:56:00,26731,3,"",0,0,5.5819106855975
36193A745B1674,07:15:00,07:15:00,26733,1,"",0,0,0
36193A745B1674,07:17:00,07:17:00,26729,2,"",0,0,0.53805416580964
36193A745B1674,07:26:00,07:26:00,26731,3,"",0,0,5.5819106855975
36194A745B1674,18:00:00,18:00:00,26733,1,"",0,0,0
36194A745B1674,18:02:00,18:02:00,26729,2,"",0,0,0.53805416580964
36194A745B1674,18:11:00,18:11:00,26731,3,"",0,0,5.5819106855975
36195A745B1674,08:30:00,08:30:00,26733,1,"",0,0,0
36195A745B1674,08:32:00,08:32:00,26729,2,"",0,0,0.53805416580964
36195A745B1674,08:41:00,08:41:00,26731,3,"",0,0,5.5819106855975
36196A745B1674,19:15:00,19:15:00,26733,1,"",0,0,0
36196A745B1674,19:17:00,19:17:00,26729,2,"",0,0,0.53805416580964
36196A745B1674,19:26:00,19:26:00,26731,3,"",0,0,5.5819106855975
36197A745B1674,09:45:00,09:45:00,26733,1,"",0,0,0
36197A745B1674,09:47:00,09:47:00,26729,2,"",0,0,0.53805416580964
36197A745B1674,09:56:00,09:56:00,26731,3,"",0,0,5.5819106855975
36198A745B1674,20:30:00,20:30:00,26733,1,"",0,0,0
36198A745B1674,20:32:00,20:32:00,26729,2,"",0,0,0.53805416580964
36198A745B1674,20:41:00,20:41:00,26731,3,"",0,0,5.5819106855975
36199A745B1674,11:00:00,11:00:00,26733,1,"",0,0,0
36199A745B1674,11:02:00,11:02:00,26729,2,"",0,0,0.53805416580964
36199A745B1674,11:11:00,11:11:00,26731,3,"",0,0,5.5819106855975
36200A746B1674,01:05:00,01:05:00,26733,1,"",0,0,0
36200A746B1674,01:07:00,01:07:00,26729,2,"",0,0,0.53805416580964
36200A746B1674,01:16:00,01:16:00,26731,3,"",0,0,5.5819106855975
36201A746B1674,15:00:00,15:00:00,26733,1,"",0,0,0
36201A746B1674,15:02:00,15:02:00,26729,2,"",0,0,0.53805416580964
36201A746B1674,15:11:00,15:11:00,26731,3,"",0,0,5.5819106855975
36202A746B1674,04:00:00,04:00:00,26733,1,"",0,0,0
36202A746B1674,04:02:00,04:02:00,26729,2,"",0,0,0.53805416580964
36202A746B1674,04:11:00,04:11:00,26731,3,"",0,0,5.5819106855975
36203A746B1674,16:40:00,16:40:00,26733,1,"",0,0,0
36203A746B1674,16:42:00,16:42:00,26729,2,"",0,0,0.53805416580964
36203A746B1674,16:51:00,16:51:00,26731,3,"",0,0,5.5819106855975
36204A746B1674,06:20:00,06:20:00,26733,1,"",0,0,0
36204A746B1674,06:22:00,06:22:00,26729,2,"",0,0,0.53805416580964
36204A746B1674,06:31:00,06:31:00,26731,3,"",0,0,5.5819106855975
36205A746B1674,18:00:00,18:00:00,26733,1,"",0,0,0
36205A746B1674,18:02:00,18:02:00,26729,2,"",0,0,0.53805416580964
36205A746B1674,18:11:00,18:11:00,26731,3,"",0,0,5.5819106855975
36206A746B1674,08:40:00,08:40:00,26733,1,"",0,0,0
36206A746B1674,08:42:00,08:42:00,26729,2,"",0,0,0.53805416580964
36206A746B1674,08:51:00,08:51:00,26731,3,"",0,0,5.5819106855975
36207A746B1674,19:20:00,19:20:00,26733,1,"",0,0,0
36207A746B1674,19:22:00,19:22:00,26729,2,"",0,0,0.53805416580964
36207A746B1674,19:31:00,19:31:00,26731,3,"",0,0,5.5819106855975
36208A746B1674,10:40:00,10:40:00,26733,1,"",0,0,0
36208A746B1674,10:42:00,10:42:00,26729,2,"",0,0,0.53805416580964
36208A746B1674,10:51:00,10:51:00,26731,3,"",0,0,5.5819106855975
36209A746B1674,20:20:00,20:20:00,26733,1,"",0,0,0
36209A746B1674,20:22:00,20:22:00,26729,2,"",0,0,0.53805416580964
36209A746B1674,20:31:00,20:31:00,26731,3,"",0,0,5.5819106855975
36210A746B1674,11:40:00,11:40:00,26733,1,"",0,0,0
36210A746B1674,11:42:00,11:42:00,26729,2,"",0,0,0.53805416580964
36210A746B1674,11:51:00,11:51:00,26731,3,"",0,0,5.5819106855975
36211A746B1674,21:20:00,21:20:00,26733,1,"",0,0,0
36211A746B1674,21:22:00,21:22:00,26729,2,"",0,0,0.53805416580964
36211A746B1674,21:31:00,21:31:00,26731,3,"",0,0,5.5819106855975
36212A746B1674,12:40:00,12:40:00,26733,1,"",0,0,0
36212A746B1674,12:42:00,12:42:00,26729,2,"",0,0,0.53805416580964
36212A746B1674,12:51:00,12:51:00,26731,3,"",0,0,5.5819106855975
36213A746B1674,22:45:00,22:45:00,26733,1,"",0,0,0
36213A746B1674,22:47:00,22:47:00,26729,2,"",0,0,0.53805416580964
36213A746B1674,22:56:00,22:56:00,26731,3,"",0,0,5.5819106855975
36214A746B1674,13:40:00,13:40:00,26733,1,"",0,0,0
36214A746B1674,13:42:00,13:42:00,26729,2,"",0,0,0.53805416580964
36214A746B1674,13:51:00,13:51:00,26731,3,"",0,0,5.5819106855975
36215A746B1674,00:30:00,00:30:00,26733,1,"",0,0,0
36215A746B1674,00:32:00,00:32:00,26729,2,"",0,0,0.53805416580964
36215A746B1674,00:41:00,00:41:00,26731,3,"",0,0,5.5819106855975
36216A746B1674,14:40:00,14:40:00,26733,1,"",0,0,0
36216A746B1674,14:42:00,14:42:00,26729,2,"",0,0,0.53805416580964
36216A746B1674,14:51:00,14:51:00,26731,3,"",0,0,5.5819106855975
36217A746B1674,02:50:00,02:50:00,26733,1,"",0,0,0
36217A746B1674,02:52:00,02:52:00,26729,2,"",0,0,0.53805416580964
36217A746B1674,03:01:00,03:01:00,26731,3,"",0,0,5.5819106855975
36218A746B1674,16:00:00,16:00:00,26733,1,"",0,0,0
36218A746B1674,16:02:00,16:02:00,26729,2,"",0,0,0.53805416580964
36218A746B1674,16:11:00,16:11:00,26731,3,"",0,0,5.5819106855975
36219A746B1674,05:10:00,05:10:00,26733,1,"",0,0,0
36219A746B1674,05:12:00,05:12:00,26729,2,"",0,0,0.53805416580964
36219A746B1674,05:21:00,05:21:00,26731,3,"",0,0,5.5819106855975
36220A746B1674,17:20:00,17:20:00,26733,1,"",0,0,0
36220A746B1674,17:22:00,17:22:00,26729,2,"",0,0,0.53805416580964
36220A746B1674,17:31:00,17:31:00,26731,3,"",0,0,5.5819106855975
36221A746B1674,07:30:00,07:30:00,26733,1,"",0,0,0
36221A746B1674,07:32:00,07:32:00,26729,2,"",0,0,0.53805416580964
36221A746B1674,07:41:00,07:41:00,26731,3,"",0,0,5.5819106855975
36222A746B1674,18:40:00,18:40:00,26733,1,"",0,0,0
36222A746B1674,18:42:00,18:42:00,26729,2,"",0,0,0.53805416580964
36222A746B1674,18:51:00,18:51:00,26731,3,"",0,0,5.5819106855975
36223A746B1674,09:50:00,09:50:00,26733,1,"",0,0,0
36223A746B1674,09:52:00,09:52:00,26729,2,"",0,0,0.53805416580964
36223A746B1674,10:01:00,10:01:00,26731,3,"",0,0,5.5819106855975
36224A746B1674,19:40:00,19:40:00,26733,1,"",0,0,0
36224A746B1674,19:42:00,19:42:00,26729,2,"",0,0,0.53805416580964
36224A746B1674,19:51:00,19:51:00,26731,3,"",0,0,5.5819106855975
36225A746B1674,11:00:00,11:00:00,26733,1,"",0,0,0
36225A746B1674,11:02:00,11:02:00,26729,2,"",0,0,0.53805416580964
36225A746B1674,11:11:00,11:11:00,26731,3,"",0,0,5.5819106855975
36226A746B1674,20:40:00,20:40:00,26733,1,"",0,0,0
36226A746B1674,20:42:00,20:42:00,26729,2,"",0,0,0.53805416580964
36226A746B1674,20:51:00,20:51:00,26731,3,"",0,0,5.5819106855975
36227A746B1674,12:00:00,12:00:00,26733,1,"",0,0,0
36227A746B1674,12:02:00,12:02:00,26729,2,"",0,0,0.53805416580964
36227A746B1674,12:11:00,12:11:00,26731,3,"",0,0,5.5819106855975
36228A746B1674,21:40:00,21:40:00,26733,1,"",0,0,0
36228A746B1674,21:42:00,21:42:00,26729,2,"",0,0,0.53805416580964
36228A746B1674,21:51:00,21:51:00,26731,3,"",0,0,5.5819106855975
36229A746B1674,13:00:00,13:00:00,26733,1,"",0,0,0
36229A746B1674,13:02:00,13:02:00,26729,2,"",0,0,0.53805416580964
36229A746B1674,13:11:00,13:11:00,26731,3,"",0,0,5.5819106855975
